iter,best,average
0,2.925292,44.318535
1,6.4003124,27.930313
2,3.754428,26.957495
3,3.7717667,21.85429
4,2.2568903,20.65701
5,2.4471798,17.043219
6,1.4046383,18.479515
7,0.9329939,15.93894
8,0.52450657,16.034729
9,0.5449152,14.04588
10,0.43122768,10.323912
11,0.25301456,3.8196044
12,0.023781776,8.817217
13,0.010515213,5.355647
14,0.002339363,4.603082
15,0.0017547607,4.6232853
16,3.0136108E-4,4.380557
17,3.604889E-4,2.9152954
18,5.1498413E-5,6.9794874
19,1.2397766E-5,3.4604325
20,7.6293945E-6,5.3302794
21,9.536743E-7,7.2458296
22,1.9073486E-6,3.414336
23,0.0,3.0903254
24,0.0,5.00575
25,0.0,4.91047
26,0.0,3.9418182
27,0.0,5.5063457
28,0.0,4.915401
29,0.0,4.7498317
30,0.0,6.3188276
31,0.0,5.3839664
32,0.0,5.8460684
33,0.0,3.9441383
34,0.0,3.5965512
35,0.0,3.4438043
36,0.0,4.7364993
37,0.0,3.7673721
38,0.0,7.776374
39,0.0,4.39124
40,0.0,5.450849
41,0.0,7.664798
42,0.0,5.809063
43,0.0,4.645705
44,0.0,6.514899
45,0.0,5.333908
46,0.0,4.7911196
47,0.0,2.5848873
48,0.0,6.669436
49,0.0,4.2442694
50,0.0,4.0142975
51,0.0,5.274706
52,0.0,4.646405
53,0.0,5.9606466
54,0.0,4.8577514
55,0.0,7.12715
56,0.0,7.0506983
57,0.0,6.7463164
58,0.0,4.930094
59,0.0,4.798781
60,0.0,7.3062835
61,0.0,5.721234
62,0.0,4.5080843
63,0.0,4.8952265
64,0.0,6.365567
65,0.0,4.044095
66,0.0,5.4406285
67,0.0,4.5771704
68,0.0,6.020835
69,0.0,5.879531
70,0.0,2.8736446
71,0.0,4.322399
72,0.0,4.8696294
73,0.0,3.9033196
74,0.0,4.181098
75,0.0,3.7907588
76,0.0,8.474295
77,0.0,5.5158677
78,0.0,6.444644
79,0.0,3.091827
80,0.0,7.309404
81,0.0,4.466254
82,0.0,10.109647
83,0.0,9.150643
84,0.0,8.069891
85,0.0,3.7956867
86,0.0,4.748187
87,0.0,6.2036977
88,0.0,6.8652787
89,0.0,4.190759
90,0.0,4.0113516
91,0.0,3.9590893
92,0.0,7.5566444
93,0.0,3.87441
94,0.0,2.889168
95,0.0,6.0436563
96,0.0,5.612502
97,0.0,3.4409802
98,0.0,3.735515
99,0.0,5.9446635
100,0.0,7.497316
101,0.0,7.524237
102,0.0,3.2078643
103,0.0,4.848053
104,0.0,5.9490123
105,0.0,8.359179
106,0.0,7.2967825
107,0.0,6.977501
108,0.0,6.781705
109,0.0,5.3941965
110,0.0,3.843924
111,0.0,4.326312
112,0.0,4.9824677
113,0.0,3.88544
114,0.0,3.7470498
115,0.0,2.2919145
116,0.0,6.3806615
117,0.0,3.99108
118,0.0,4.1294613
119,0.0,9.624807
120,0.0,4.772392
121,0.0,4.687722
122,0.0,3.0050046
123,0.0,4.113757
124,0.0,5.6049876
125,0.0,5.8161287
126,0.0,5.5941906
127,0.0,5.9003944
128,0.0,3.8988242
129,0.0,6.157653
130,0.0,3.4906554
131,0.0,4.9289393
132,0.0,5.548625
133,0.0,4.399366
134,0.0,5.6397963
135,0.0,5.907964
136,0.0,7.5178823
137,0.0,2.6134725
138,0.0,4.4038434
139,0.0,2.7145672
140,0.0,3.7635682
141,0.0,5.435651
142,0.0,4.485045
143,0.0,3.4763565
144,0.0,3.2909954
145,0.0,7.8334947
146,0.0,6.001204
147,0.0,4.1880264
148,0.0,4.905012
149,0.0,5.6570253
