iter,best,average
0,19.524166,47.030796
1,13.874693,42.9284
2,8.621419,28.673916
3,1.4157906,22.352076
4,1.4157906,29.843037
5,1.4157906,25.47089
6,1.4157906,24.59585
7,1.4157906,24.390347
8,1.4157906,20.041216
9,1.4157906,17.696682
10,1.4157906,23.025843
11,1.4157906,21.140135
12,1.4157906,20.747992
13,1.4157906,24.090853
14,0.554636,15.285879
15,0.554636,19.336151
16,0.554636,23.602581
17,0.554636,19.615135
18,0.554636,19.580732
19,0.554636,21.481762
20,0.554636,20.016376
21,0.554636,26.19634
22,0.554636,23.877264
23,0.554636,16.657528
24,0.554636,18.114977
25,0.554636,16.717989
26,0.554636,14.467051
27,0.554636,15.208216
28,0.4373541,19.709366
29,0.4373541,17.81283
30,0.4373541,19.025051
31,0.4373541,18.502481
32,0.4373541,16.003162
33,0.2780409,14.91498
34,0.22778893,20.46828
35,0.22778893,17.824932
36,0.22778893,21.712704
37,0.22778893,22.306671
38,0.22778893,20.299894
39,0.22778893,19.711353
40,0.22778893,20.100231
41,0.22778893,20.212658
42,0.22778893,23.083626
43,0.22778893,22.04507
44,0.22778893,23.221066
45,0.22778893,21.424976
46,0.22778893,22.449238
47,0.22778893,25.102448
48,0.22778893,20.01569
49,0.22778893,24.49144
50,0.22778893,20.617136
51,0.22778893,21.40417
52,0.22778893,24.816671
53,0.22778893,16.43017
54,0.22778893,19.586565
55,0.22778893,17.93631
56,0.22778893,23.806698
57,0.22778893,20.28027
58,0.22778893,19.794199
59,0.22778893,16.439344
60,0.22778893,22.371754
61,0.22778893,17.688757
62,0.22778893,15.831465
63,0.09950161,16.294117
64,0.09950161,23.397282
65,0.069298744,23.187
66,0.069298744,17.154655
67,0.069298744,20.705551
68,0.069298744,23.198635
69,0.069298744,24.754723
70,0.069298744,17.495611
71,0.069298744,18.76383
72,0.069298744,23.744862
73,0.069298744,20.78675
74,0.069298744,17.008097
75,0.069298744,21.928062
76,0.069298744,19.229645
77,0.069298744,21.039423
78,0.069298744,19.1413
79,0.069298744,17.882107
80,0.069298744,20.49014
81,0.069298744,19.633045
82,0.069298744,21.626102
83,0.069298744,22.927143
84,0.069298744,27.083477
85,0.069298744,21.757841
86,0.069298744,22.882534
87,0.069298744,20.008436
88,0.069298744,22.558966
89,0.069298744,18.567265
90,0.069298744,17.171814
91,0.069298744,19.208511
92,0.069298744,24.123327
93,0.069298744,23.821106
94,0.069298744,22.590088
95,0.069298744,16.315332
96,0.017586708,18.26701
97,0.017586708,17.05275
98,0.017586708,17.202412
99,0.017586708,18.09613
100,0.017586708,20.69051
101,0.017586708,22.199106
102,0.017586708,21.14866
103,0.017586708,22.023005
104,0.017586708,22.287922
105,0.017586708,21.965435
106,0.017586708,20.99419
107,0.017586708,27.902737
108,0.017586708,20.113272
109,0.017586708,24.025755
110,0.017586708,21.626276
111,0.017586708,22.556042
112,0.017586708,24.192984
113,0.017586708,23.224604
114,0.017586708,16.716633
115,0.017586708,15.606776
116,0.017586708,22.290176
117,0.017586708,25.020428
118,0.017586708,21.070213
119,0.017586708,15.66996
120,0.017586708,13.845564
121,0.017586708,22.509449
122,0.017586708,18.37041
123,0.017586708,22.398516
124,0.017586708,19.562008
125,0.017586708,25.266024
126,0.017586708,19.351366
127,0.017586708,22.456133
128,0.017586708,20.209555
129,0.017586708,22.765789
130,0.017586708,17.795242
131,0.017586708,18.069569
132,0.017586708,17.6731
133,0.017586708,23.527308
134,0.017586708,19.233189
135,0.017586708,23.540432
136,0.017586708,18.306395
137,0.017586708,23.247662
138,0.017586708,22.494429
139,0.017586708,22.014265
140,0.017586708,22.467123
141,0.017586708,23.078655
142,0.017586708,20.763409
143,0.017586708,26.124521
144,0.017586708,23.981586
145,0.017586708,20.493309
146,0.017586708,20.936607
147,0.017586708,21.800085
148,0.017586708,20.735477
149,0.017586708,16.65339
