iter,best,average
0,24.524239,40.568153
1,15.082181,27.230236
2,14.134392,22.717146
3,6.3985186,18.631222
4,5.4114647,12.081522
5,5.4114647,6.043391
6,2.5819225,6.2776284
7,2.0989819,4.2834344
8,2.0989819,4.758087
9,2.0989819,3.7648857
10,2.0989819,3.4420247
11,2.0989819,3.32738
12,2.0989819,5.245381
13,2.0989819,2.3719077
14,2.0989819,2.0989823
15,2.0989819,2.3140664
16,2.0989819,3.926047
17,2.0989819,5.0769596
18,2.0989819,4.9140434
19,2.0989819,3.8850555
20,2.0989819,4.007039
21,2.0989819,2.200512
22,2.0989819,5.6423187
23,2.0989819,2.4994586
24,2.0989819,2.2200265
25,2.0989819,5.80058
26,2.0989819,3.1184
27,2.0989819,2.4720101
28,2.0472708,4.144841
29,2.0285425,5.847953
30,2.0285425,4.7559915
31,2.0285425,2.905115
32,2.0285425,2.3220296
33,2.0285425,2.6422298
34,2.0285425,4.8836145
35,2.0285425,3.0582275
36,2.0285425,4.085247
37,2.0285425,4.4927244
38,2.0285425,3.678299
39,2.0285425,4.1303196
40,2.0285425,2.159643
41,2.0285425,2.2740908
42,2.0285425,5.22106
43,2.0285425,3.2089036
44,2.0285425,5.0844927
45,2.0285425,4.2771406
46,2.0285425,2.769518
47,2.0285425,3.4858067
48,2.0285425,4.4463816
49,2.0285425,2.8949485
50,2.0285425,4.270757
51,2.0285425,2.5213554
52,2.0285425,2.3349023
53,2.0285425,3.9068465
54,2.0113096,2.8249133
55,1.9902496,4.019072
56,1.9901924,2.451937
57,1.9901791,1.9902147
58,1.9901676,3.6054547
59,1.9901657,2.570796
60,1.9901657,3.3433456
61,1.9901657,2.1527057
62,1.9901657,4.6714215
63,1.9901657,3.5859408
64,1.9901657,2.8582246
65,1.9901657,4.2357693
66,1.9901657,2.837335
67,1.9901657,3.8211808
68,1.9901657,4.8921576
69,1.9901657,3.4465096
70,1.9901657,4.3164687
71,1.9901657,2.963561
72,1.9901657,1.9901657
73,1.9901657,2.1731114
74,1.9901657,6.042301
75,1.9901657,3.1670623
76,1.9901657,4.074944
77,1.9901657,2.4742286
78,1.9901657,2.359812
79,1.9901657,2.012669
80,1.9901657,4.2219944
81,1.9901657,2.7754245
82,1.9901657,2.445715
83,1.9901657,2.4440746
84,1.9901657,5.2899733
85,1.9901657,2.4852626
86,1.9901657,2.9776466
87,1.9901657,3.9440112
88,1.9901657,4.0074883
89,1.9901657,2.0958073
90,1.9901657,2.1889582
91,1.9901657,3.6267877
92,1.9901657,1.9901657
93,1.9901657,3.474273
94,1.9901657,2.8863032
95,1.9901657,2.8513675
96,1.9901657,2.109466
97,1.9901657,3.9750752
98,1.9901657,3.8035686
99,1.9901657,2.200741
100,1.9901657,4.8321295
101,1.9901657,2.9784217
102,1.9901657,3.8416038
103,1.9901657,5.7809153
104,1.9901657,3.1286476
105,1.9901657,4.3591347
106,1.9901657,2.6888013
107,1.9901657,2.2570124
108,1.9901657,3.7555
109,1.9901657,3.1040487
110,1.9901657,2.5140765
111,1.9901657,1.9901657
112,1.9901657,3.6084824
113,1.9901657,2.1417177
114,1.9901657,2.5380924
115,1.9901657,2.382714
116,1.9901657,2.162418
117,1.9901657,5.4849205
118,1.9901657,3.596833
119,1.9901657,3.6032867
120,1.9901657,2.6523108
121,1.9901657,4.8986073
122,1.9901657,2.7602916
123,1.9901657,2.573462
124,1.9901657,5.5815706
125,1.9901657,3.6326199
126,1.9901657,6.5653048
127,1.9901657,2.1783912
128,1.9901657,2.7676594
129,1.9901657,4.7027583
130,1.9901657,2.7488165
131,1.9901657,2.7006195
132,1.9901657,2.5550544
133,1.9901657,1.9901657
134,1.9901657,3.9526494
135,1.9901657,3.3795261
136,1.9901657,2.2853434
137,1.9901657,2.1969757
138,1.9901657,3.9431005
139,1.9901657,3.2547822
140,1.9901657,3.0456562
141,1.9901657,4.1946816
142,1.9901657,2.461742
143,1.9901657,4.8470764
144,1.9901657,2.7384987
145,1.9901657,4.120823
146,1.9901657,5.1015697
147,1.9901657,3.6081517
148,1.9901657,2.5753715
149,1.9901657,4.940986
