iter,best,average
0,3.816082,32.465736
1,2.0581522,24.341135
2,2.0581522,21.851978
3,2.0581522,26.128555
4,2.0581522,21.984625
5,2.0581522,26.14454
6,2.0581522,23.289173
7,1.7869635,22.88424
8,1.0678663,21.069744
9,0.9887409,24.331856
10,0.9887409,21.933653
11,0.9887409,21.70288
12,0.6430254,18.964695
13,0.6430254,24.249676
14,0.6430254,20.713547
15,0.6430254,23.227083
16,0.6430254,19.22779
17,0.6430254,21.091936
18,0.6430254,20.126373
19,0.069999695,20.26682
20,0.069999695,19.859875
21,0.069999695,19.115093
22,0.051169395,20.470818
23,0.051169395,17.838137
24,0.051169395,21.01064
25,0.051169395,18.779058
26,0.051169395,20.716816
27,0.051169395,15.994375
28,0.051169395,18.842588
29,0.051169395,17.93824
30,0.051169395,21.772139
31,0.05081463,15.85622
32,0.05081463,18.33689
33,0.05081463,19.224699
34,0.05081463,17.956463
35,0.05081463,16.871632
36,0.05081463,17.255548
37,0.05081463,19.17622
38,0.05081463,15.145668
39,0.05081463,17.185946
40,0.0057172775,16.54586
41,0.0057172775,16.449968
42,0.0057172775,14.555342
43,0.0043325424,17.606392
44,0.0043325424,13.656014
45,0.0043325424,14.210333
46,0.0043325424,12.537572
47,0.0043325424,10.726684
48,0.0043325424,13.86354
49,0.0043325424,12.105917
50,0.0043325424,14.950888
51,0.0043325424,11.880865
52,0.0043325424,13.4647665
53,0.0043325424,11.091582
54,0.0043325424,12.50615
55,9.975433E-4,14.6848545
56,9.975433E-4,14.681282
57,9.975433E-4,14.009325
58,5.8555603E-4,13.645469
59,5.8555603E-4,12.838362
60,5.8555603E-4,11.731948
61,5.8555603E-4,13.65529
62,5.8555603E-4,10.64344
63,5.8555603E-4,14.357426
64,5.8555603E-4,12.596828
65,5.8555603E-4,14.866255
66,5.8555603E-4,13.678337
67,5.8555603E-4,12.190142
68,5.8555603E-4,10.671849
69,5.8555603E-4,12.3342495
70,5.8555603E-4,10.056331
71,5.8555603E-4,12.563926
72,5.8555603E-4,12.13109
73,5.8555603E-4,10.616299
74,5.8555603E-4,11.970359
75,5.8555603E-4,12.013485
76,5.8555603E-4,12.412061
77,5.8555603E-4,9.773606
78,5.8555603E-4,10.969889
79,5.8555603E-4,9.811932
80,5.8555603E-4,9.948033
81,5.8555603E-4,9.270569
82,5.8555603E-4,10.513573
83,5.8555603E-4,9.802376
84,5.8555603E-4,9.941419
85,5.8555603E-4,10.759041
86,5.8555603E-4,10.898609
87,5.8555603E-4,10.04324
88,3.4046173E-4,10.306385
89,3.4046173E-4,9.597969
90,5.340576E-5,9.652266
91,5.340576E-5,9.562197
92,5.340576E-5,8.846661
93,5.340576E-5,9.715512
94,4.4822693E-5,8.20412
95,4.4822693E-5,8.395968
96,4.4822693E-5,8.759954
97,4.4822693E-5,8.009525
98,4.4822693E-5,7.846387
99,4.4822693E-5,8.776095
100,4.4822693E-5,8.346131
101,4.4822693E-5,7.8843274
102,4.4822693E-5,8.424278
103,4.4822693E-5,7.325875
104,4.4822693E-5,8.67909
105,4.4822693E-5,8.136992
106,4.4822693E-5,8.504437
107,4.4822693E-5,8.351821
108,4.4822693E-5,6.461478
109,4.4822693E-5,7.788101
110,4.4822693E-5,7.0364146
111,4.4822693E-5,8.964427
112,4.4822693E-5,8.094288
113,4.4822693E-5,8.953172
114,4.4822693E-5,7.5191755
115,4.4822693E-5,6.0753803
116,4.4822693E-5,7.5734477
117,4.4822693E-5,6.3261585
118,4.4822693E-5,7.137165
119,4.4822693E-5,6.4937263
120,4.4822693E-5,6.1763453
121,4.4822693E-5,7.275023
122,4.4822693E-5,6.661427
123,4.4822693E-5,6.887203
124,4.4822693E-5,7.0447297
125,4.4822693E-5,5.647918
126,2.0980835E-5,5.0722346
127,2.0980835E-5,5.4365473
128,2.0980835E-5,6.4354916
129,1.9073486E-6,6.3981194
130,1.9073486E-6,5.9471025
131,1.9073486E-6,5.826989
132,9.536743E-7,6.470162
133,9.536743E-7,6.0280566
134,9.536743E-7,4.8670387
135,9.536743E-7,4.6989946
136,9.536743E-7,4.7527623
137,9.536743E-7,4.4851418
138,9.536743E-7,4.8023376
139,9.536743E-7,5.6458154
140,9.536743E-7,3.8017237
141,0.0,4.8669024
142,0.0,5.544563
143,0.0,4.745765
144,0.0,4.4962473
145,0.0,3.2756112
146,0.0,4.4575524
147,0.0,4.170749
148,0.0,4.359817
149,0.0,3.34516
