iter,best,average
0,7.9369125,43.154297
1,3.5954762,40.237137
2,3.5954762,37.888317
3,0.6430836,36.92487
4,0.6430836,36.637608
5,0.53864384,34.297363
6,0.53864384,32.57757
7,0.53864384,31.550074
8,0.53864384,31.964973
9,0.53864384,31.481487
10,0.53864384,30.105139
11,0.3858881,29.725279
12,0.3858881,28.741526
13,0.3858881,28.25445
14,0.37561226,27.742353
15,0.37561226,27.96207
16,0.37561226,27.918968
17,0.37561226,25.963264
18,0.37561226,25.917774
19,0.29733562,25.652266
20,0.29733562,24.844107
21,0.29733562,24.572912
22,0.29733562,23.684093
23,0.29733562,23.54883
24,0.24815369,24.55766
25,0.24815369,23.51336
26,0.24815369,23.395868
27,0.24815369,22.230476
28,0.24815369,22.23163
29,0.24815369,25.043848
30,0.24815369,23.632568
31,0.24815369,21.348623
32,0.2415371,21.739483
33,0.2415371,20.92675
34,0.2415371,20.363916
35,0.2415371,20.254662
36,0.23030281,22.451818
37,0.23030281,20.643536
38,0.23030281,19.854074
39,0.23030281,20.759039
40,0.23030281,19.624493
41,0.23030281,21.884356
42,0.23030281,21.04357
43,0.23030281,19.940567
44,0.23030281,19.514961
45,0.23030281,19.466248
46,0.23030281,19.174753
47,0.23030281,20.401619
48,0.23030281,18.830475
49,0.23030281,18.57699
50,0.23030281,19.306646
51,0.23030281,18.265085
52,0.23030281,18.23631
53,0.23030281,18.639864
54,0.23030281,18.574427
55,0.23030281,19.642584
56,0.23030281,18.331446
57,0.23030281,18.399435
58,0.23030281,18.565987
59,0.23030281,18.466948
60,0.23030281,18.420555
61,0.23030281,17.885778
62,0.23030281,18.589502
63,0.23030281,18.68194
64,0.23030281,17.426094
65,0.23030281,18.711075
66,0.061671257,17.975525
67,0.061671257,17.672438
68,0.061671257,18.387932
69,0.061671257,15.894663
70,0.061671257,18.297783
71,0.061671257,18.146132
72,0.061671257,17.077478
73,0.061671257,17.229292
74,0.061671257,18.750782
75,0.061671257,18.672316
76,0.061671257,15.865587
77,0.061671257,16.154173
78,0.061671257,17.148039
79,0.061671257,16.065174
80,0.061671257,16.931417
81,0.04060173,17.203558
82,0.04060173,18.422514
83,0.04060173,16.371275
84,0.04060173,17.159765
85,0.04060173,17.842548
86,0.04060173,16.83757
87,0.04009056,17.004824
88,0.04009056,17.28697
89,0.04009056,15.896032
90,0.04009056,16.034218
91,0.04009056,17.019848
92,0.023432732,17.443678
93,0.023432732,17.372124
94,0.023432732,16.695618
95,0.023432732,16.872822
96,0.023432732,17.329857
97,0.023432732,17.367428
98,0.023432732,16.771948
99,0.023432732,16.378563
100,0.023432732,14.933201
101,0.023432732,16.137163
102,0.023432732,16.478416
103,0.0010347366,15.682063
104,0.0010347366,15.90176
105,0.0010347366,16.79334
106,0.0010347366,17.849764
107,0.0010347366,16.690655
108,0.0010347366,16.730246
109,0.0010347366,15.813793
110,0.0010347366,15.187544
111,0.0010347366,14.73751
112,0.0010347366,16.147066
113,0.0010347366,17.729214
114,0.0010347366,17.763325
115,0.0010347366,16.303469
116,0.0010347366,15.589539
117,0.0010347366,15.364667
118,0.0010347366,16.746838
119,0.0010347366,16.392242
120,0.0010347366,15.961569
121,0.0010347366,15.661388
122,0.0010347366,16.179716
123,0.0010347366,14.615212
124,0.0010347366,14.36652
125,0.0010347366,15.7832
126,0.0010347366,14.934681
127,0.0010347366,15.419951
128,0.0010347366,14.392504
129,0.0010347366,15.240998
130,0.0010347366,15.606541
131,0.0010347366,15.422765
132,0.0010347366,15.28461
133,0.0010347366,15.224853
134,0.0010347366,15.858973
135,0.0010347366,16.23661
136,0.0010347366,14.809744
137,0.0010347366,14.042057
138,0.0010347366,15.072184
139,0.0010347366,16.401545
140,0.0010347366,16.124939
141,0.0010347366,14.737406
142,0.0010347366,14.773144
143,0.0010347366,15.910694
144,0.0010347366,17.431688
145,0.0010347366,16.147284
146,0.0010347366,15.304382
147,0.0010347366,13.17539
148,0.0010347366,14.645617
149,0.0010347366,14.809567
150,0.0010347366,15.699089
151,0.0010347366,14.836745
152,0.0010347366,16.020563
153,0.0010347366,15.310847
154,0.0010347366,15.251024
155,0.0010347366,14.4190035
156,0.0010347366,15.596074
157,0.0010347366,15.468128
158,0.0010347366,15.443123
159,0.0010347366,15.000156
160,0.0010347366,14.795566
161,0.0010347366,15.7128935
162,0.0010347366,15.66912
163,0.0010347366,14.76713
164,0.0010347366,14.842399
165,0.0010347366,15.633712
166,0.0010347366,16.473888
167,0.0010347366,15.696538
168,0.0010347366,15.52328
169,0.0010347366,14.857047
170,0.0010347366,14.658943
171,0.0010347366,14.546561
172,0.0010347366,15.083173
173,0.0010347366,14.394398
174,0.0010347366,14.530852
175,0.0010347366,13.550977
176,0.0010347366,15.491186
177,0.0010347366,15.540453
178,0.0010347366,15.106516
179,0.0010347366,15.7536125
180,0.0010347366,15.306924
181,0.0010347366,13.387028
182,0.0010347366,14.505194
183,0.0010347366,15.310456
184,0.0010347366,14.661373
185,0.0010347366,15.311599
186,0.0010347366,15.414956
187,0.0010347366,14.583782
188,0.0010347366,14.307051
189,0.0010347366,14.097978
190,0.0010347366,14.160274
191,0.0010347366,14.214735
192,6.093979E-4,15.1070385
193,6.093979E-4,14.669237
194,6.093979E-4,14.70623
195,6.093979E-4,15.426123
196,6.093979E-4,16.53533
197,6.093979E-4,14.936767
198,6.093979E-4,13.967097
199,6.093979E-4,14.005738
