iter,best,average
0,8.11367,42.6371
1,7.3578997,39.337967
2,2.4899817,39.120815
3,1.74436,40.04294
4,1.74436,38.368805
5,0.9803896,33.87454
6,0.9803896,34.08881
7,0.9803896,33.742893
8,0.9803896,30.118952
9,0.9803896,29.936068
10,0.60432434,30.615084
11,0.60432434,29.580986
12,0.2661152,28.236937
13,0.2661152,28.197834
14,0.2661152,28.362673
15,0.2661152,27.087637
16,0.2661152,25.921473
17,0.2661152,26.638374
18,0.124082565,27.268238
19,0.124082565,25.557697
20,0.124082565,24.735432
21,0.124082565,25.586432
22,0.11502266,25.26015
23,0.11502266,23.993036
24,0.11502266,22.885632
25,0.11502266,23.555042
26,0.11502266,24.442202
27,0.11502266,23.497097
28,0.11502266,21.362677
29,0.11502266,21.877565
30,0.11502266,21.212317
31,0.11502266,22.88782
32,0.11502266,20.9486
33,0.100728035,19.889545
34,0.100728035,21.858374
35,0.100728035,22.142788
36,0.100728035,20.555315
37,0.060040474,18.943249
38,0.060040474,20.392927
39,0.060040474,20.08535
40,0.060040474,20.855417
41,0.060040474,20.99081
42,0.060040474,19.52428
43,0.03203678,19.548016
44,0.03203678,19.538267
45,0.008050919,18.574057
46,0.008050919,20.366468
47,0.008050919,20.883982
48,0.008050919,20.066133
49,0.008050919,18.506954
50,0.008050919,18.638334
51,0.008050919,19.807535
52,0.008050919,20.358921
53,0.008050919,20.153435
54,0.008050919,18.951265
55,0.008050919,20.157995
56,0.008050919,18.819954
57,0.008050919,18.941612
58,0.008050919,17.827475
59,0.008050919,20.20386
60,0.008050919,18.942856
61,0.008050919,19.687487
62,0.008050919,18.411823
63,0.008050919,18.324614
64,0.008050919,17.712364
65,0.008050919,16.96173
66,0.008050919,15.850999
67,0.008050919,18.97866
68,0.008050919,18.780563
69,0.008050919,18.198387
70,0.008050919,17.288145
71,0.008050919,17.508265
72,0.008050919,17.333717
73,0.008050919,17.751537
74,0.008050919,17.440536
75,0.008050919,17.584366
76,0.008050919,17.67384
77,0.008050919,17.35939
78,0.008050919,17.542763
79,0.008050919,16.636314
80,0.008050919,16.85133
81,0.008050919,17.793959
82,0.008050919,18.560373
83,0.008050919,17.781069
84,0.008050919,19.132906
85,0.008050919,18.801325
86,0.008050919,16.72213
87,0.008050919,16.371496
88,0.008050919,14.666956
89,0.008050919,18.617224
90,0.008050919,18.99284
91,0.008050919,16.58622
92,0.008050919,14.763432
93,0.008050919,18.148743
94,0.008050919,17.703709
95,0.008050919,16.54694
96,0.008050919,15.593784
97,0.008050919,16.912165
98,0.008050919,16.436752
99,0.008050919,16.543348
100,0.008050919,16.64139
101,0.008050919,16.860405
102,0.008050919,16.733723
103,0.008050919,16.127321
104,0.008050919,15.576103
105,0.008050919,15.550589
106,0.008050919,15.667816
107,0.008050919,15.909421
108,0.0041131973,16.197493
109,0.0041131973,17.140554
110,0.0041131973,17.04489
111,0.0041131973,15.707278
112,0.0041131973,14.459348
113,0.0041131973,14.629926
114,0.0041131973,15.159442
115,0.0041131973,16.09632
116,0.0041131973,14.682669
117,0.0041131973,14.858212
118,0.0041131973,15.367976
119,0.0041131973,15.334509
120,0.0041131973,16.050194
121,0.0041131973,15.271472
122,0.0041131973,15.166302
123,0.0041131973,14.803977
124,0.0041131973,15.986791
125,0.0041131973,15.218642
126,0.0041131973,15.919564
127,0.0041131973,16.100874
128,0.0041131973,16.48037
129,0.0041131973,13.321857
130,0.0041131973,15.008863
131,0.0041131973,14.411949
132,0.0041131973,13.859514
133,0.0041131973,15.366591
134,0.0041131973,14.623497
135,0.0041131973,15.076721
136,0.0041131973,15.59233
137,0.0041131973,15.272682
138,0.0041131973,15.678009
139,0.0041131973,13.796545
140,0.0041131973,13.475186
141,0.0041131973,15.897082
142,0.0041131973,15.975547
143,0.0041131973,15.74136
144,0.0041131973,14.280956
145,0.0041131973,14.930638
146,0.0041131973,13.999192
147,0.0041131973,15.659246
148,0.0041131973,15.920577
149,0.0041131973,15.702261
150,0.0041131973,14.76682
151,0.0041131973,14.427951
152,0.0041131973,14.931545
153,0.0041131973,15.844474
154,0.0041131973,15.414159
155,0.0041131973,15.570244
156,0.0041131973,15.407688
157,0.0041131973,15.396729
158,0.0041131973,15.535253
159,0.0041131973,15.548969
160,0.0041131973,15.024633
161,0.0041131973,14.072902
162,0.0041131973,15.724709
163,0.0041131973,17.89236
164,0.0041131973,15.140861
165,0.0041131973,13.717416
166,0.0041131973,13.348766
167,0.0041131973,14.362653
168,0.0041131973,15.989261
169,0.0041131973,16.091324
170,0.0041131973,14.077228
171,0.0041131973,14.599476
172,0.0041131973,15.446611
173,0.0041131973,14.427909
174,0.0041131973,15.849082
175,0.0041131973,14.747075
176,0.0041131973,14.474408
177,0.0041131973,14.204769
178,0.0041131973,14.516963
179,0.0041131973,15.0962
180,0.0041131973,15.541035
181,0.0041131973,14.654437
182,0.0041131973,13.557329
183,0.0041131973,14.2564745
184,0.0041131973,16.105633
185,0.0041131973,15.484812
186,0.0041131973,13.638028
187,0.0041131973,12.770863
188,0.0041131973,14.486554
189,0.0041131973,16.139664
190,0.0036964417,13.160613
191,0.0036964417,14.994662
192,0.003586769,14.558161
193,0.003586769,15.312195
194,0.003586769,14.806636
195,0.003586769,12.824985
196,0.003586769,12.899139
197,0.003586769,14.316922
198,0.003586769,14.472779
199,0.003586769,14.239602
