iter,best,average
0,5.260481,38.29926
1,2.5660744,28.49278
2,2.5660744,27.795488
3,2.5660744,24.733253
4,2.5660744,26.680943
5,2.5660744,26.340403
6,1.0547991,23.991554
7,1.0547991,23.978884
8,1.0547991,20.891838
9,0.0026988983,23.22451
10,0.0026988983,22.095404
11,0.0026988983,26.684973
12,0.0026988983,25.560234
13,0.0026988983,25.153967
14,0.0026988983,23.238686
15,0.0026988983,23.79847
16,0.0026988983,25.340483
17,0.0026988983,24.42411
18,0.0026988983,25.330656
19,0.0026988983,25.853844
20,0.0026988983,24.134825
21,0.0026988983,23.730574
22,0.0026988983,21.472075
23,0.0026988983,26.889776
24,0.0026988983,24.281805
25,0.0026988983,27.051903
26,0.0026988983,22.870884
27,0.0026988983,23.586266
28,0.0026988983,24.787657
29,0.0026988983,25.198997
30,0.0026988983,19.534782
31,0.0026988983,23.469826
32,0.0026988983,23.699068
33,0.0026988983,23.612795
34,0.0026988983,24.84411
35,0.0026988983,21.845766
36,0.0026988983,22.763988
37,0.0026988983,22.60832
38,0.0026988983,21.665571
39,0.0026988983,21.673471
40,0.0026988983,22.49477
41,0.0026988983,21.390913
42,0.0026988983,21.77573
43,0.0026988983,24.95474
44,0.0026988983,24.642511
45,0.0026988983,25.126427
46,0.0026988983,22.699602
47,0.0026988983,24.37916
48,0.0026988983,23.739708
49,0.0026988983,22.401766
50,0.0026988983,22.761686
51,0.0026988983,23.27206
52,0.0026988983,22.528584
53,0.0026988983,25.29989
54,0.0026988983,24.426462
55,0.0026988983,23.29002
56,0.0026988983,22.118275
57,0.0026988983,24.90943
58,0.0026988983,23.93042
59,0.0026988983,23.86188
60,1.8119812E-5,22.828924
61,1.8119812E-5,24.294817
62,1.8119812E-5,22.287949
63,1.8119812E-5,23.775934
64,1.8119812E-5,21.137733
65,1.8119812E-5,23.971647
66,1.8119812E-5,20.403091
67,1.8119812E-5,23.259642
68,1.8119812E-5,23.28231
69,1.8119812E-5,23.84007
70,1.8119812E-5,22.806904
71,1.8119812E-5,22.740158
72,1.8119812E-5,27.181435
73,1.8119812E-5,24.29188
74,1.8119812E-5,21.72433
75,1.8119812E-5,20.554873
76,1.8119812E-5,23.116926
77,1.8119812E-5,23.68933
78,1.8119812E-5,22.075354
79,1.8119812E-5,23.119034
80,1.8119812E-5,24.934536
81,1.8119812E-5,22.312279
82,1.8119812E-5,21.224373
83,1.8119812E-5,19.20313
84,1.8119812E-5,22.610838
85,1.8119812E-5,22.05521
86,1.8119812E-5,20.659307
87,1.8119812E-5,21.032093
88,1.8119812E-5,23.706806
89,1.8119812E-5,22.144827
90,1.8119812E-5,22.476162
91,1.8119812E-5,22.433311
92,1.8119812E-5,21.30827
93,1.8119812E-5,22.31769
94,1.8119812E-5,22.939987
95,1.8119812E-5,22.932163
96,1.8119812E-5,19.968231
97,1.8119812E-5,23.803135
98,1.8119812E-5,19.362503
99,1.8119812E-5,23.24657
100,1.8119812E-5,24.738558
101,1.8119812E-5,24.584454
102,1.8119812E-5,22.862648
103,1.8119812E-5,23.97122
104,1.8119812E-5,23.146833
105,1.8119812E-5,22.728455
106,1.8119812E-5,20.7075
107,1.8119812E-5,20.888378
108,1.8119812E-5,23.050644
109,1.8119812E-5,23.997204
110,1.8119812E-5,22.557938
111,1.8119812E-5,21.243237
112,1.8119812E-5,20.927828
113,1.8119812E-5,23.796711
114,1.8119812E-5,22.286402
115,1.8119812E-5,20.360685
116,1.8119812E-5,22.381138
117,1.8119812E-5,22.095049
118,1.8119812E-5,24.54344
119,1.8119812E-5,22.159014
120,1.8119812E-5,20.809443
121,1.5258789E-5,22.886969
122,1.5258789E-5,26.02374
123,1.5258789E-5,23.660522
124,1.5258789E-5,19.483517
125,1.5258789E-5,20.875174
126,1.5258789E-5,22.921886
127,1.5258789E-5,22.461067
128,1.5258789E-5,21.452093
129,1.5258789E-5,22.454266
130,1.5258789E-5,21.914635
131,1.5258789E-5,22.786997
132,1.5258789E-5,23.046764
133,1.5258789E-5,21.011477
134,1.5258789E-5,22.144934
135,1.5258789E-5,20.2301
136,1.5258789E-5,22.312925
137,1.5258789E-5,22.704084
138,1.5258789E-5,23.28241
139,1.5258789E-5,22.670961
140,1.5258789E-5,20.606733
141,1.5258789E-5,20.507835
142,1.5258789E-5,22.069582
143,1.5258789E-5,21.861982
144,1.5258789E-5,24.260113
145,1.5258789E-5,22.64334
146,1.5258789E-5,22.819574
147,1.5258789E-5,20.635897
148,1.5258789E-5,24.6252
149,1.5258789E-5,20.400063
