iter,best,average
0,5.0085163,45.10559
1,5.0085163,44.273415
2,5.0085163,43.43952
3,5.0085163,42.39
4,5.0085163,41.43499
5,4.9920435,40.643517
6,4.5090704,40.081505
7,4.5090704,39.255787
8,3.7004447,38.529007
9,3.0909586,37.64788
10,3.021926,36.667683
11,1.0013275,35.980995
12,1.0013275,35.21578
13,1.0013275,34.167946
14,1.0013275,33.66606
15,1.0013275,32.56804
16,1.0013275,31.586853
17,1.0013275,30.716806
18,1.0013275,29.908585
19,1.0013275,28.974497
20,1.0013275,28.26695
21,1.0013275,28.045803
22,0.15718079,28.0679
23,0.15718079,28.171747
24,0.15718079,28.269138
25,0.15718079,28.515827
26,0.0012025833,27.968271
27,0.0012025833,27.402197
28,0.0012025833,26.291847
29,0.0012025833,25.065289
30,0.0012025833,24.015661
31,0.0012025833,23.333002
32,3.3283234E-4,22.480295
33,9.059906E-5,22.034399
34,9.059906E-5,21.422163
35,1.7166138E-5,20.50809
36,4.7683716E-6,19.663816
37,4.7683716E-6,18.80386
38,3.8146973E-6,17.792976
39,3.8146973E-6,17.359741
40,3.8146973E-6,16.27806
41,9.536743E-7,15.031659
42,9.536743E-7,14.882506
43,9.536743E-7,14.73506
44,9.536743E-7,15.265763
45,9.536743E-7,14.99536
46,9.536743E-7,14.272412
47,9.536743E-7,14.061863
48,9.536743E-7,13.15381
49,9.536743E-7,12.536059
50,9.536743E-7,11.79479
51,9.536743E-7,11.054346
52,9.536743E-7,10.502683
53,0.0,9.835554
54,0.0,9.221901
55,0.0,9.52305
56,0.0,9.7320795
57,0.0,10.18462
58,0.0,10.290123
59,0.0,9.890279
60,0.0,9.506097
61,0.0,9.045812
62,0.0,8.345543
63,0.0,7.985099
64,0.0,7.9410357
65,0.0,7.1355925
66,0.0,7.072557
67,0.0,6.739116
68,0.0,6.9580736
69,0.0,6.346
70,0.0,5.821914
71,0.0,5.780432
72,0.0,5.688662
73,0.0,5.798086
74,0.0,5.571496
75,0.0,5.3327227
76,0.0,5.066297
77,0.0,4.7153482
78,0.0,3.9776993
79,0.0,3.616506
80,0.0,3.31324
81,0.0,3.2167687
82,0.0,3.1531522
83,0.0,2.5962305
84,0.0,2.378445
85,0.0,2.4552813
86,0.0,2.4437943
87,0.0,2.3965015
88,0.0,2.605668
89,0.0,2.6122396
90,0.0,2.5796247
91,0.0,2.3359764
92,0.0,2.3371804
93,0.0,2.054131
94,0.0,1.8669494
95,0.0,1.8758012
96,0.0,1.6801685
97,0.0,1.5030396
98,0.0,1.3610606
99,0.0,1.0817243
100,0.0,1.2390532
101,0.0,1.0509114
102,0.0,1.048492
103,0.0,1.2481031
104,0.0,1.1750094
105,0.0,1.1332451
106,0.0,1.0158377
107,0.0,0.90047485
108,0.0,0.7136817
109,0.0,0.7621171
110,0.0,0.603029
111,0.0,0.592159
112,0.0,0.41186988
113,0.0,0.35712937
114,0.0,0.49242753
115,0.0,0.51364136
116,0.0,0.44117278
117,0.0,0.44788793
118,0.0,0.43799725
119,0.0,0.34213355
120,0.0,0.34509835
121,0.0,0.28852078
122,0.0,0.28645575
123,0.0,0.309674
124,0.0,0.36232835
125,0.0,0.21287678
126,0.0,0.31174818
127,0.0,0.19466381
128,0.0,0.15415183
129,0.0,0.23125671
130,0.0,0.2720701
131,0.0,0.2682341
132,0.0,0.25359493
133,0.0,0.30221444
134,0.0,0.2885158
135,0.0,0.30469814
136,0.0,0.31742093
137,0.0,0.20867649
138,0.0,0.3679163
139,0.0,0.40849045
140,0.0,0.26230213
141,0.0,0.25393918
142,0.0,0.19694674
143,0.0,0.21409932
144,0.0,0.122276515
145,0.0,0.12509161
146,0.0,0.058166713
147,0.0,0.1210574
148,0.0,0.16531116
149,0.0,0.13113815
150,0.0,0.057777986
151,0.0,0.03952156
152,0.0,0.08259147
153,0.0,0.13739125
154,0.0,0.18115868
155,0.0,0.14259009
156,0.0,0.20407431
157,0.0,0.14916927
158,0.0,0.07332335
159,0.0,0.15168923
160,0.0,0.099907525
161,0.0,0.09230804
162,0.0,0.04432654
163,0.0,0.036800537
164,0.0,0.036221687
165,0.0,0.086735144
166,0.0,0.14748058
167,0.0,0.07378749
168,0.0,0.1273141
169,0.0,0.10290707
170,0.0,0.1710173
171,0.0,0.14498347
172,0.0,0.08319242
173,0.0,0.042945813
174,0.0,0.07354348
175,0.0,0.14555855
176,0.0,0.17740925
177,0.0,0.19865525
178,0.0,0.18577057
179,0.0,0.23549877
180,0.0,0.21938926
181,0.0,0.14104223
182,0.0,0.072864525
183,0.0,0.023833638
184,0.0,0.0068998337
185,0.0,0.0021402931
186,0.0,0.0043078805
187,0.0,0.005710497
188,0.0,0.0045255185
189,0.0,0.00614543
190,0.0,0.0039868546
191,0.0,0.0059765433
192,0.0,2.013588E-4
193,0.0,0.0018563843
194,0.0,6.932068E-4
195,0.0,0.0018564129
196,0.0,0.0024391175
197,0.0,0.0039867116
198,0.0,0.006435442
199,0.0,0.003466978
