iter,best,average
0,4.0788693,45.812916
1,4.0788693,44.392353
2,3.804267,42.495117
3,3.1967497,41.02328
4,2.5162516,39.757675
5,2.2374668,38.86736
6,2.2374668,38.167484
7,2.0243607,38.019756
8,1.9944735,38.489105
9,1.9944735,38.872585
10,0.24226952,38.98103
11,0.24226952,38.69153
12,0.24226952,37.87645
13,0.24226952,36.701267
14,0.10007286,35.320423
15,0.10007286,33.736385
16,0.09361839,32.6432
17,0.021636963,31.976309
18,0.021636963,31.10701
19,0.021636963,30.798033
20,0.0073595047,30.363554
21,0.0073595047,29.720112
22,0.0073595047,28.953682
23,0.0030431747,28.384338
24,0.0019626617,27.342731
25,0.0019626617,26.034946
26,0.0019626617,24.442154
27,0.0019626617,23.067314
28,1.8405914E-4,22.063784
29,1.8405914E-4,21.772575
30,1.8405914E-4,21.375206
31,1.3542175E-4,20.759571
32,1.3542175E-4,20.170769
33,3.6239624E-5,20.060232
34,1.2397766E-5,19.704002
35,1.2397766E-5,18.865662
36,6.67572E-6,18.128904
37,6.67572E-6,17.668163
38,9.536743E-7,17.03827
39,9.536743E-7,16.846624
40,0.0,16.822079
41,0.0,16.777733
42,0.0,16.607895
43,0.0,16.475266
44,0.0,16.155523
45,0.0,15.87867
46,0.0,15.152108
47,0.0,14.681388
48,0.0,14.061034
49,0.0,13.719865
50,0.0,12.910754
51,0.0,12.270271
52,0.0,12.242609
53,0.0,12.101709
54,0.0,11.725171
55,0.0,11.3135605
56,0.0,10.697946
57,0.0,10.005454
58,0.0,9.784004
59,0.0,8.990795
60,0.0,8.62531
61,0.0,8.361529
62,0.0,7.8315673
63,0.0,7.8142724
64,0.0,7.3955173
65,0.0,6.8559957
66,0.0,6.8408394
67,0.0,6.7173223
68,0.0,6.05462
69,0.0,5.5263186
70,0.0,5.3137712
71,0.0,5.361521
72,0.0,5.0662665
73,0.0,4.890808
74,0.0,5.139777
75,0.0,4.533072
76,0.0,4.136051
77,0.0,3.9003098
78,0.0,3.5516849
79,0.0,3.061266
80,0.0,2.8616245
81,0.0,2.7341561
82,0.0,2.6799557
83,0.0,2.6107287
84,0.0,2.5752945
85,0.0,2.371494
86,0.0,2.1737044
87,0.0,1.9765413
88,0.0,1.7196753
89,0.0,1.4819561
90,0.0,1.477258
91,0.0,1.6060098
92,0.0,1.634602
93,0.0,1.7338002
94,0.0,1.6371137
95,0.0,1.6015869
96,0.0,1.7004669
97,0.0,1.6176372
98,0.0,1.3476659
99,0.0,1.3302112
100,0.0,1.0864687
101,0.0,1.1274394
102,0.0,1.1376636
103,0.0,1.0270166
104,0.0,0.86700857
105,0.0,0.92866534
106,0.0,1.0930066
107,0.0,1.0322778
108,0.0,0.8147287
109,0.0,0.87659156
110,0.0,0.7609894
111,0.0,0.7160442
112,0.0,0.7242209
113,0.0,0.78765917
114,0.0,0.8040075
115,0.0,0.7420408
116,0.0,0.71610916
117,0.0,0.6639739
118,0.0,0.5522887
119,0.0,0.5605655
120,0.0,0.6274028
121,0.0,0.6217884
122,0.0,0.5256292
123,0.0,0.5885743
124,0.0,0.5026114
125,0.0,0.5663217
126,0.0,0.6990549
127,0.0,0.61831915
128,0.0,0.6388118
129,0.0,0.5356927
130,0.0,0.6956532
131,0.0,0.72463626
132,0.0,0.6368566
133,0.0,0.7061293
134,0.0,0.8822748
135,0.0,0.81193435
136,0.0,0.74006456
137,0.0,0.64780116
138,0.0,0.57490844
139,0.0,0.69442075
140,0.0,0.62341803
141,0.0,0.5286884
142,0.0,0.41890457
143,0.0,0.45891586
144,0.0,0.44081175
145,0.0,0.40247697
146,0.0,0.36979923
147,0.0,0.33124474
148,0.0,0.37979567
149,0.0,0.35041344
150,0.0,0.35414952
151,0.0,0.37763688
152,0.0,0.4860369
153,0.0,0.5679602
154,0.0,0.5539817
155,0.0,0.59112436
156,0.0,0.47588173
157,0.0,0.34600165
158,0.0,0.35263228
159,0.0,0.36941504
160,0.0,0.39562854
161,0.0,0.38636884
162,0.0,0.342473
163,0.0,0.28318974
164,0.0,0.2966084
165,0.0,0.22485061
166,0.0,0.22546269
167,0.0,0.27829066
168,0.0,0.31617728
169,0.0,0.23854133
170,0.0,0.20283611
171,0.0,0.14678219
172,0.0,0.18348369
173,0.0,0.22184654
174,0.0,0.18556981
175,0.0,0.1776313
176,0.0,0.22276089
177,0.0,0.29260862
178,0.0,0.36112744
179,0.0,0.34847778
180,0.0,0.31470886
181,0.0,0.25285885
182,0.0,0.29848167
183,0.0,0.23576069
184,0.0,0.19428901
185,0.0,0.24491158
186,0.0,0.30150265
187,0.0,0.3220861
188,0.0,0.27578163
189,0.0,0.26234937
190,0.0,0.29496408
191,0.0,0.28856954
192,0.0,0.265398
193,0.0,0.21828663
194,0.0,0.14435287
195,0.0,0.22974373
196,0.0,0.16986705
197,0.0,0.23529346
198,0.0,0.25501144
199,0.0,0.29904383
