iter,best,average
0,3.4308672,32.875595
1,3.4308672,26.584766
2,2.6663866,22.41162
3,2.5302982,17.892994
4,2.0357237,18.35742
5,2.0357237,19.059856
6,2.0307093,19.047476
7,2.0045004,16.041723
8,2.0045004,17.310143
9,2.0045004,15.163967
10,2.0045004,13.306273
11,2.0045004,13.015539
12,1.9927883,11.23215
13,1.9927883,9.431059
14,1.9927883,10.60563
15,1.9900265,8.377574
16,1.9900265,8.975024
17,1.9900265,8.625141
18,1.9900265,6.611187
19,1.9900265,6.858277
20,1.9900265,5.936708
21,1.9900265,6.536497
22,1.9900265,5.961555
23,1.9900265,5.9769416
24,1.9900265,5.909339
25,1.9900265,4.833243
26,1.9900265,4.379816
27,1.9900265,4.146403
28,1.9899197,3.9589813
29,1.9899197,3.4195292
30,1.9899197,3.2592013
31,1.9899197,3.2457178
32,1.9899197,2.9362586
33,1.9899197,2.7602508
34,1.9899187,2.4277635
35,1.9899187,2.852443
36,1.9899187,2.1705575
37,1.9899187,2.4828036
38,1.9899187,2.028524
39,1.9899187,2.3608556
40,1.9899187,2.321517
41,1.9899178,2.0663347
42,1.9899178,2.2308648
43,1.9899178,2.014164
44,1.9899178,2.094898
45,1.9899178,1.9958999
46,1.9899178,2.0373337
47,1.9899178,2.0363965
48,1.9899178,1.9994454
49,1.9899178,2.0210774
50,1.9899178,2.0229087
51,1.9899178,2.0014496
52,1.9899178,1.9946771
53,1.9899178,1.9938452
54,1.9899178,1.9950453
55,1.9899178,1.994508
56,1.9899178,1.9964042
57,1.9899178,1.9963242
58,1.9899178,1.9982209
59,1.9899178,1.9922168
60,1.9899178,1.9948909
61,1.9899178,1.9953208
62,1.9899178,1.9956536
63,1.9899178,1.9952573
64,1.9899178,1.9956734
65,1.9899178,1.9938949
66,1.9899178,1.9918731
67,1.9899178,1.9981642
68,1.9899178,1.9977192
69,1.9899178,2.006943
70,1.9899178,1.9905859
71,1.9899168,2.0004117
72,1.9899168,1.9908147
73,1.9899168,1.9929407
74,1.9899168,1.9917188
75,1.9899168,1.9913983
76,1.9899168,1.9923133
77,1.9899168,1.9956626
78,1.9899168,1.9918704
79,1.9899168,1.9901092
80,1.9899168,1.9904953
81,1.9899168,1.9900147
82,1.9899168,1.990336
83,1.9899168,1.9901315
84,1.9899168,1.9899281
85,1.9899168,1.9900092
86,1.9899168,1.9900405
87,1.9899168,1.990004
88,1.9899168,1.9900107
89,1.9899168,1.9899628
90,1.9899168,1.9899268
91,1.9899168,1.9899411
92,1.9899168,1.9899244
93,1.9899168,1.9899285
94,1.9899168,1.989924
95,1.9899168,1.9899194
96,1.9899168,1.989921
97,1.9899168,1.989921
98,1.9899168,1.989922
99,1.9899168,1.9899238
100,1.9899168,1.989924
101,1.9899168,1.9899225
102,1.9899168,1.98992
103,1.9899168,1.9899206
104,1.9899168,1.9899185
105,1.9899168,1.9899188
106,1.9899168,1.9899194
107,1.9899168,1.9899182
108,1.9899168,1.9899188
109,1.9899168,1.9899188
110,1.9899168,1.9899188
111,1.9899168,1.9899185
112,1.9899168,1.9899174
113,1.9899168,1.9899179
114,1.9899168,1.9899176
115,1.9899168,1.9899178
116,1.9899168,1.9899182
117,1.9899168,1.9899176
118,1.9899168,1.9899176
119,1.9899168,1.9899176
120,1.9899168,1.9899179
121,1.9899168,1.9899187
122,1.9899168,1.989919
123,1.9899168,1.9899176
124,1.9899168,1.9899185
125,1.9899168,1.9899181
126,1.9899168,1.9899182
127,1.9899168,1.9899181
128,1.9899168,1.9899176
129,1.9899168,1.9899181
130,1.9899168,1.9899181
131,1.9899168,1.9899182
132,1.9899168,1.9899176
133,1.9899168,1.9899184
134,1.9899168,1.9899182
135,1.9899168,1.9899179
136,1.9899168,1.9899182
137,1.9899168,1.9899181
138,1.9899168,1.9899176
139,1.9899168,1.9899182
140,1.9899168,1.9899173
141,1.9899168,1.9899182
142,1.9899168,1.9899173
143,1.9899168,1.9899176
144,1.9899168,1.9899179
145,1.9899168,1.9899178
146,1.9899168,1.9899173
147,1.9899168,1.9899173
148,1.9899168,1.9899179
149,1.9899168,1.9899179
